================================================================================
ESV CROSS-REFERENCE REPOSITIONING - ALL BOOKS
================================================================================

Processing esther_9.xml... ✓ 15 verses, 24 crossrefs repositioned
Processing exodus_1.xml... ✓ 10 verses, 14 crossrefs repositioned
Processing exodus_10.xml... ✓ 18 verses, 21 crossrefs repositioned
Processing exodus_11.xml... ✓ 7 verses, 8 crossrefs repositioned
Processing exodus_12.xml... ✓ 34 verses, 43 crossrefs repositioned
Processing exodus_15.xml... ✓ 26 verses, 37 crossrefs repositioned
Processing exodus_18.xml... ✓ 15 verses, 21 crossrefs repositioned
Processing exodus_19.xml... ✓ 16 verses, 30 crossrefs repositioned
Processing exodus_2.xml... ✓ 19 verses, 27 crossrefs repositioned
Processing exodus_20.xml... ✓ 12 verses, 13 crossrefs repositioned
Processing exodus_21.xml... ✓ 16 verses, 11 crossrefs repositioned
Processing exodus_24.xml... ✓ 13 verses, 17 crossrefs repositioned
Processing exodus_25.xml... ✓ 22 verses, 18 crossrefs repositioned
Processing exodus_26.xml... ✓ 6 verses, 8 crossrefs repositioned
Processing exodus_27.xml... ✓ 7 verses, 6 crossrefs repositioned
Processing exodus_29.xml... ✓ 25 verses, 30 crossrefs repositioned
Processing exodus_3.xml... ✓ 18 verses, 26 crossrefs repositioned
Processing exodus_30.xml... ✓ 21 verses, 22 crossrefs repositioned
Processing exodus_32.xml... ✓ 28 verses, 39 crossrefs repositioned
Processing exodus_33.xml... ✓ 18 verses, 29 crossrefs repositioned
Processing exodus_35.xml... ✓ 19 verses, 17 crossrefs repositioned
Processing exodus_37.xml... ✓ 4 verses, 2 crossrefs repositioned
Processing exodus_38.xml... ✓ 5 verses, 4 crossrefs repositioned
Processing exodus_39.xml... ✓ 13 verses, 6 crossrefs repositioned
Processing exodus_5.xml... ✓ 8 verses, 10 crossrefs repositioned
Processing exodus_6.xml... ✓ 24 verses, 32 crossrefs repositioned
Processing exodus_9.xml... ✓ 19 verses, 21 crossrefs repositioned
Processing ezekiel_1.xml... ✓ 25 verses, 49 crossrefs repositioned
Processing ezekiel_10.xml... ✓ 17 verses, 36 crossrefs repositioned
Processing ezekiel_11.xml... ✓ 18 verses, 28 crossrefs repositioned
Processing ezekiel_12.xml... ✓ 20 verses, 30 crossrefs repositioned
Processing ezekiel_13.xml... ✓ 11 verses, 16 crossrefs repositioned
Processing ezekiel_14.xml... ✓ 11 verses, 20 crossrefs repositioned
Processing ezekiel_15.xml... ✓ 5 verses, 8 crossrefs repositioned
Processing ezekiel_16.xml... ✓ 40 verses, 66 crossrefs repositioned
Processing ezekiel_17.xml... ✓ 14 verses, 25 crossrefs repositioned
Processing ezekiel_18.xml... ✓ 14 verses, 21 crossrefs repositioned
Processing ezekiel_19.xml... ✓ 9 verses, 16 crossrefs repositioned
Processing ezekiel_2.xml... ✓ 8 verses, 14 crossrefs repositioned
Processing ezekiel_20.xml... ✓ 34 verses, 65 crossrefs repositioned
Processing ezekiel_21.xml... ✓ 18 verses, 36 crossrefs repositioned
Processing ezekiel_22.xml... ✓ 22 verses, 43 crossrefs repositioned
Processing ezekiel_23.xml... ✓ 30 verses, 62 crossrefs repositioned
Processing ezekiel_24.xml... ✓ 16 verses, 28 crossrefs repositioned
Processing ezekiel_25.xml... ✓ 8 verses, 19 crossrefs repositioned
Processing ezekiel_26.xml... ✓ 10 verses, 23 crossrefs repositioned
Processing ezekiel_27.xml... ✓ 31 verses, 55 crossrefs repositioned
Processing ezekiel_28.xml... ✓ 20 verses, 38 crossrefs repositioned
Processing ezekiel_29.xml... ✓ 11 verses, 19 crossrefs repositioned
Processing ezekiel_3.xml... ✓ 19 verses, 36 crossrefs repositioned
Processing ezekiel_30.xml... ✓ 16 verses, 40 crossrefs repositioned
Processing ezekiel_31.xml... ✓ 12 verses, 30 crossrefs repositioned
Processing ezekiel_32.xml... ✓ 24 verses, 46 crossrefs repositioned
Processing ezekiel_33.xml... ✓ 23 verses, 42 crossrefs repositioned
Processing ezekiel_34.xml... ✓ 24 verses, 46 crossrefs repositioned
Processing ezekiel_35.xml... ✓ 10 verses, 20 crossrefs repositioned
Processing ezekiel_36.xml... ✓ 27 verses, 51 crossrefs repositioned
Processing ezekiel_37.xml... ✓ 22 verses, 52 crossrefs repositioned
Processing ezekiel_38.xml... ✓ 16 verses, 42 crossrefs repositioned
Processing ezekiel_39.xml... ✓ 16 verses, 28 crossrefs repositioned
Processing ezekiel_4.xml... ✓ 14 verses, 28 crossrefs repositioned
Processing ezekiel_40.xml... ✓ 32 verses, 62 crossrefs repositioned
Processing ezekiel_41.xml... ✓ 22 verses, 34 crossrefs repositioned
Processing ezekiel_42.xml... ✓ 12 verses, 23 crossrefs repositioned
